NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Start Date,Primary Completion Date,Completion Date
NCT03311594,The Alcohol-Pain Connection: Mechanisms and Genetic/Psychological Correlates,COMPLETED,Pain|Alcohol Drinking|Acute Pain|Drinking Behavior,DRUG: Low Alcohol|DRUG: Moderate Alcohol|DRUG: Placebo Alcohol|OTHER: Pain Induction|OTHER: No Pain Induction,Syracuse University,National Institute on Alcohol Abuse and Alcoholism (NIAAA),INTERVENTIONAL,"May 12, 2019","May 12, 2019","June 30, 2022"
NCT04456777,Effect of Vortioxetine on Cognitive Symptoms in Patients With Schizophrenia,UNKNOWN,Cognitive Deficit,DRUG: Vortioxetine,Alen Greš,,INTERVENTIONAL,"July 1, 2020","July 1, 2020","July 1, 2022"
NCT04699877,A Study to Investigate the Effect of Severe Renal Impairment on Gilteritinib Compared to Healthy Participants With Normal Renal Function,ACTIVE_NOT_RECRUITING,Renal Impaired|Gilteritinib|Normal Renal Function|Pharmacokinetics of ASP2215,DRUG: Gilteritinib,"Astellas Pharma Global Development, Inc.",,INTERVENTIONAL,"January 28, 2021","January 28, 2021","August 31, 2022"
NCT05437094,Effect of Coadministration of Itraconazole on the Pharmacokinetics of CRD-740,RECRUITING,Clinical Pharmacology|Pharmacokinetics|Cardiovascular Diseases|Heart Failure,DRUG: CRD-740|DRUG: Itraconazole,"Cardurion Pharmaceuticals, Inc.",,INTERVENTIONAL,"June 27, 2022","June 27, 2022","August 10, 2022"
NCT02393794,Cisplatin Plus Romidepsin & Nivolumab in Locally Recurrent or Metastatic Triple Negative Breast Cancer (TNBC),ACTIVE_NOT_RECRUITING,Triple-Negative Breast Cancer|Breast Cancer,DRUG: Romidepsin|DRUG: Cisplatin|DRUG: Nivolumab,Priyanka Sharma,Celgene Corporation|Bristol-Myers Squibb,INTERVENTIONAL,"July 17, 2015","July 17, 2015",July 2022
NCT05320094,A Study to Evaluate the Effect of Activated Charcoal With Sorbitol on the Single-dose of Mavacamten in Healthy Participants,RECRUITING,Healthy Participants,DRUG: Mavacamten|DRUG: Activated Charcoal with Sorbitol,Bristol-Myers Squibb,,INTERVENTIONAL,"April 20, 2022","April 20, 2022","July 28, 2022"
NCT02727764,A Single Dose Clinical Trial to Study the Safety of ART-I02 in Patients With Arthritis,UNKNOWN,"Arthritis, Rheumatoid|Osteo Arthritis",GENETIC: ART-I02,Arthrogen,Centre for Human Drug Research (CHDR),INTERVENTIONAL,"April 20, 2017","April 20, 2017",September 2022
NCT04737161,Safety of T Regulatory Cell Therapy in Subjects With COVID-19 Induced Acute Respiratory Distress Syndrome,WITHDRAWN,Acute Respiratory Distress Syndrome|Covid19,BIOLOGICAL: T regulatory cells,Stanford University,,INTERVENTIONAL,March 2021,March 2021,September 2022
NCT01297764,"A Study of Carfilzomib, Lenalidomide, Vorinostat, and Dexamethasone in Relapsed and/or Refractory Multiple Myeloma",ACTIVE_NOT_RECRUITING,Multiple Myeloma,"DRUG: Vorinostat, Lenalidomide, Carfilzomib, Dexamethasone",Hackensack Meridian Health,,INTERVENTIONAL,April 2011,April 2011,August 2022
NCT05207761,"Study to Evaluate Drug-drug Interaction, Safety and Tolerability in Case of the Co-administration of D565 and D930",NOT_YET_RECRUITING,Glaucoma,DRUG: D565|DRUG: D930,Chong Kun Dang Pharmaceutical,,INTERVENTIONAL,"January 19, 2022","January 19, 2022","July 3, 2022"
NCT02635061,Selective HDAC6 Inhibitor ACY 241 in Combination With Nivolumab in Patients With Unresectable Non Small Cell Lung Cancer,UNKNOWN,Non Small Cell Lung Cancer,DRUG: ACY-241|DRUG: Nivolumab,Celgene,,INTERVENTIONAL,"August 25, 2016","August 25, 2016","June 30, 2022"
NCT05153564,A Research Study Looking Into the Effect of Semaglutide and NNC0480 0389 on Blood Levels of a Birth Control Pill in Woman After Menopause,COMPLETED,"Diabetes Mellitus, Type 2",DRUG: Semaglutide 1.34 mg/mL|DRUG: Semaglutide 3.0 mg/mL|DRUG: NNC0480-0389 10 mg/mL|DRUG: NNC0480-0389 30 mg/mL|DRUG: Microgynon®,Novo Nordisk A/S,,INTERVENTIONAL,"December 13, 2021","December 13, 2021","August 13, 2022"
NCT04167761,Ertugliflozin: Cardioprotective Effects on Epicardial Fat,RECRUITING,Cardiovascular Diseases|Atherosclerosis|Type 2 Diabetes|Insulin Resistance,DRUG: Ertugliflozin|DRUG: Glipizide,Stanford University,Merck Sharp & Dohme LLC,INTERVENTIONAL,"July 1, 2020","July 1, 2020","July 31, 2022"
NCT04302961,Effects of Gait Retraining With Auditory Feedback,ACTIVE_NOT_RECRUITING,Ankle Injuries|Ankle Inversion Sprain,OTHER: Auditory Feedback|OTHER: No Feedback,"University of North Carolina, Charlotte",,INTERVENTIONAL,"October 5, 2020","October 5, 2020","June 30, 2022"
NCT05042934,Lurbinectedin With or Without Irinotecan in Treating Patients With Relapsed or High Risk Metastatic Ewing Sarcoma,WITHDRAWN,Metastatic Ewing Sarcoma|Recurrent Ewing Sarcoma,PROCEDURE: Fine-Needle Aspiration|DRUG: Irinotecan|DRUG: Irinotecan Hydrochloride|DRUG: Lurbinectedin,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,"September 15, 2021","September 15, 2021","August 30, 2022"
NCT05492734,A Study to Assess the Feasibility of Non-invasive Dried Blood Sampling,COMPLETED,Muscular Dystrophies,DRUG: EDG-5506,"Edgewise Therapeutics, Inc.",,INTERVENTIONAL,"August 12, 2022","August 12, 2022","August 19, 2022"
NCT05475834,Study to Investigate the Mass Balance and Biotransformation of SIM0417 in Healthy Adult Chinese Male Participants,NOT_YET_RECRUITING,COVID-19|Healthy Male Volunteers,DRUG: SIM0417,"Jiangsu Simcere Pharmaceutical Co., Ltd.",,INTERVENTIONAL,"July 23, 2022","July 23, 2022","August 1, 2022"
NCT04437836,Evaluation of Pharmacokinetics and Safety Tolerability of Higher Doses of Rifampic,RECRUITING,Clinical Trial,DRUG: Evaluation of high dose rifampicin in children,Kilimanjaro Clinical Research Institute,European and Developing Countries Clinical Trials Partnership (EDCTP),INTERVENTIONAL,"July 1, 2019","July 1, 2019","July 1, 2022"
NCT04309734,Study of AT-777 in Healthy Subjects and AT-777 in Combination With AT-527 in HCV-Infected Subjects,WITHDRAWN,"Hepatitis C|Hepatitis C, Chronic|Chronic Hepatitis C|Hepatitis C Virus Infection|HCV Infection",DRUG: AT-777|DRUG: Placebo|DRUG: AT-527,"Atea Pharmaceuticals, Inc.",,INTERVENTIONAL,October 2021,October 2021,June 2022
NCT03888534,Intravenous Ixazomib in Pediatric Participants With Relapsed or Refractory Acute Lymphoblastic Leukemia (ALL) or Lymphoblastic Lymphoma (LLy),WITHDRAWN,Precursor Cell Lymphoblastic Leukemia-lymphoma,DRUG: Ixazomib,"Millennium Pharmaceuticals, Inc.",,INTERVENTIONAL,"October 31, 2020","October 31, 2020","August 30, 2022"
NCT05218434,"A Study of the Safety, Tolerability, Pharmacokinetics and Food Effect After Single and Multiple Ascending Oral Doses",RECRUITING,Autoimmune Diseases,DRUG: AX-158,Artax Biopharma Inc,Simbec-Orion Group,INTERVENTIONAL,"December 14, 2021","December 14, 2021",August 2022
NCT05466734,BE Study of Once Daily PMR Compared to Twice Daily Cilostazol IR Tablets in Healthy Volunteers,ACTIVE_NOT_RECRUITING,Intermittent Claudication,DRUG: Cilostazol Tablet 100 mg|DRUG: PMR Tablet 135 mg,"Genovate Biotechnology Co., Ltd.,",,INTERVENTIONAL,"July 30, 2022","July 30, 2022","August 23, 2022"
NCT04712734,A Study to Evaluate Iloperidone Long-acting Injection (LAI) for the Treatment of Schizophrenia,RECRUITING,Schizophrenia,DRUG: Iloperidone,Vanda Pharmaceuticals,,INTERVENTIONAL,"January 13, 2021","January 13, 2021",September 2022
NCT02909036,Study of Captisol Enabled Melphalan and Pharmacokinetics for Patients With Multiple Myeloma or Light Chain Amyloidosis That Are Receiving an Autologous Transplant.,ACTIVE_NOT_RECRUITING,Multiple Myeloma|Amyloidosis,DEVICE: Melphalan|DRUG: Pegfilgrastim|PROCEDURE: Autologous Hematopoietic Progenitor Cell Transplant,Memorial Sloan Kettering Cancer Center,"Spectrum Pharmaceuticals, Inc",INTERVENTIONAL,September 2016,September 2016,September 2022
NCT02571036,"A Safety, Tolerability and PK Study of DCC-2618 in Patients With Advanced Malignancies",ACTIVE_NOT_RECRUITING,Gastrointestinal Stromal Tumors|Advanced Systemic Mastocytosis|Advanced Cancers,DRUG: DCC-2618|DRUG: DCC-2618,Deciphera Pharmaceuticals LLC,,INTERVENTIONAL,October 2015,October 2015,June 2022
NCT04742036,Capivasertib China PK Study,COMPLETED,Advanced Solid Tumours,DRUG: Capivasertib|DRUG: Paclitaxel,AstraZeneca,,INTERVENTIONAL,"February 22, 2021","February 22, 2021","July 29, 2022"
NCT03627741,A Pilot Study of Intralesional Injection of Triamcinolone Acetonide for Desmoid Tumors,COMPLETED,Fibromatosis,DRUG: Triamcinolone Acetonide,Mayo Clinic,,INTERVENTIONAL,"June 7, 2018","June 7, 2018","July 5, 2022"
NCT04896541,"Phase I Double-blind, Placebo-controlled Study of AZD7442",COMPLETED,COVID-19,BIOLOGICAL: AZD7442 300 mg IM(male)|BIOLOGICAL: AZD7442 600 mg IM (male)|BIOLOGICAL: AZD7442 300 mg IV (male and female)|BIOLOGICAL: AZD7442 1000 mg IV (male),AstraZeneca,,INTERVENTIONAL,"March 16, 2021","March 16, 2021","June 14, 2022"
NCT04656132,PAVS in Cardiology,COMPLETED,Cardiovascular Diseases,"BEHAVIORAL: Physical activity assessment, promotion and monitoring in a preventive cardiology clinic",NYU Langone Health,,INTERVENTIONAL,"July 14, 2021","July 14, 2021","August 10, 2022"
NCT02957032,A Study of the Tumor-targeting Human F16IL2 Monoclonal Antibody-cytokine Fusion Protein in Combination With Very Low-dose Cytarabine in Patients With AML Relapse After Allogeneic Hematopoietic Stem Cell Transplantation,ACTIVE_NOT_RECRUITING,"Acute Myeloid Leukemia, Relapsed, Adult",DRUG: F16IL2|DRUG: cytarabine,Philogen S.p.A.,,INTERVENTIONAL,"April 13, 2016","April 13, 2016",September 2022
NCT05276232,Detection of Cannabis Impairment With ISBRG's SpotLight-THC,RECRUITING,Cannabis,DRUG: Cannabis(THC) inhaled,ISBRG Corp,National Advanced Driving Simulator,INTERVENTIONAL,March 2022,March 2022,August 2022
NCT05108194,Feasibility of a Personalized SMS Intervention for Insomnia,RECRUITING,Insomnia|Sleep Disorder,BEHAVIORAL: SMS Personalized Sleep Intervention,"University of Missouri, St. Louis",,INTERVENTIONAL,"November 15, 2021","November 15, 2021","June 1, 2022"
NCT05321732,The Drug Interaction of DWP16001 and DWC202010 After Oral Administration in Healthy Adults,ENROLLING_BY_INVITATION,Healthy Volunteers,DRUG: DWP16001|DRUG: DWP202010,Daewoong Pharmaceutical Co. LTD.,,INTERVENTIONAL,"December 10, 2021","December 10, 2021",August 2022
NCT05321602,Study to Evaluate the PK Profiles of LY03010 in Patients With Schizophrenia or Schizoaffective Disorder,RECRUITING,Schizophrenia|Psychotic Disorders|Mood Disorders|Schizophrenia Spectrum and Other Psychotic Disorders|Mental Disorders|Antipsychotic Agents|Tranquilizing Agents|Central Nervous System Depression|Physiological Effects of Drugs|Psychotropic Drugs|Neurotransmitter Agents|Molecular Mechanisms of Pharmacological Action,"DRUG: LY03010 156 mg treatment group, deltoid|DRUG: LY03010 156 mg treatment group, gluteal|DRUG: LY03010 351 mg treatment group, deltoid|DRUG: LY03010 351 mg treatment group, gluteal",Luye Pharma Group Ltd.,,INTERVENTIONAL,"September 8, 2021","September 8, 2021","July 23, 2022"
NCT04994002,"A Pharmacokinetic, Pharmacodynamic, Safety and Tolerability Study of CERC-006 in Adults With Complex Lymphatic Malformations",WITHDRAWN,Lymphatic Malformation,DRUG: CERC-006,"Avalo Therapeutics, Inc.",,INTERVENTIONAL,"September 3, 2021","September 3, 2021",June 2022
NCT04848402,A Device Study in Healthy Participants,RECRUITING,Healthy,DEVICE: On-Body Delivery System (OBDS)/Multiple Bolus Injector|DEVICE: Single Auto Injector|DRUG: Placebo,Eli Lilly and Company,,INTERVENTIONAL,"September 27, 2021","September 27, 2021","July 22, 2022"
NCT04514302,Safety and Efficacy of Anti-SARS-CoV-2 Equine Antibody F(ab')2 Fragments (INOSARS) for Adult Patients With Mild COVID-19,COMPLETED,COVID-19,DRUG: Placebo|DRUG: Anti-SARS-CoV-2 equine immunoglobulin F(ab')2 fragments (INOSARS),Hospital San Jose Tec de Monterrey,Inosan Biopharma,INTERVENTIONAL,"December 7, 2021","December 7, 2021","August 1, 2022"
NCT03580902,CBT4CBT for Office Based Buprenorphine,COMPLETED,Opioid-use Disorder,BEHAVIORAL: CBT4CBT-Buprenorphine|DRUG: Buprenorphine/naloxone,"CBT4CBT, LLC",,INTERVENTIONAL,"January 22, 2019","January 22, 2019","July 5, 2022"
NCT04509102,Psychostimulant Augmentation of Repetitive TMS for the Treatment of Major Depressive Disorder,ENROLLING_BY_INVITATION,Major Depressive Disorder,DRUG: Adderall-XR|DRUG: Placebo,"University of California, Los Angeles",,INTERVENTIONAL,"September 27, 2021","September 27, 2021","June 19, 2022"
NCT04167618,177Lu-DTPA-Omburtamab Radioimmunotherapy for Recurrent or Refractory Medulloblastoma,TERMINATED,"Medulloblastoma, Childhood",DRUG: 177Lu-DTPA-omburtamab,Y-mAbs Therapeutics,,INTERVENTIONAL,"September 30, 2021","September 30, 2021","August 11, 2022"
NCT04516902,Effects of MDMA Co-administration on the Response to LSD in Healthy Subjects,COMPLETED,Healthy,"DRUG: Lysergic Acid Diethylamide|DRUG: 3,4-methylenedioxymethamphetamine|OTHER: LSD Placebo|OTHER: MDMA Placebo","University Hospital, Basel, Switzerland",,INTERVENTIONAL,"January 1, 2021","January 1, 2021","August 22, 2022"
NCT04388878,Study Of Single And Multiple Ascending Doses Of PF-07054894 In Healthy Adult Participants,COMPLETED,Healthy,DRUG: PF-07054894|DRUG: Placebo,Pfizer,,INTERVENTIONAL,"July 27, 2020","July 27, 2020","June 21, 2022"
NCT05455502,A Study to Evaluate the Relative Bioavailability and Food Effect of a New Tablet Formulation of VX-548,ACTIVE_NOT_RECRUITING,Pain,DRUG: VX-548,Vertex Pharmaceuticals Incorporated,,INTERVENTIONAL,"July 13, 2022","July 13, 2022",September 2022
NCT04891718,CIVO Intratumoural Microdosing of Anti-Cancer Therapies in Australia,WITHDRAWN,Solid Tumour,BIOLOGICAL: MVC-101|BIOLOGICAL: Nivolumab|COMBINATION_PRODUCT: MVC-101 + Nivolumab,Presage Biosciences,Takeda,INTERVENTIONAL,"September 15, 2021","September 15, 2021","June 5, 2022"
NCT05150418,Supplemental Oxygen in Hypovolemia,COMPLETED,Hypovolemia|Hyperoxia,DRUG: Oxygen gas|DRUG: Air,Oslo University Hospital,Norwegian Air Ambulance Foundation,INTERVENTIONAL,"November 26, 2021","November 26, 2021","June 14, 2022"
NCT04561258,Study to Evaluate the Safety of a Gene and Cell Therapy Product in Participants With HIV That is Well-Controlled on Antiretroviral Therapy,RECRUITING,HIV,BIOLOGICAL: AGT103-T,American Gene Technologies International Inc.,,INTERVENTIONAL,"October 12, 2020","October 12, 2020",June 2022
NCT05070702,First in Human Study of CT-1500 in Healthy Participants,COMPLETED,Healthy,DRUG: CT-1500|DRUG: Placebo,Circadian Therapeutics Ltd,Neuroscience Trials Australia,INTERVENTIONAL,"November 8, 2021","November 8, 2021","July 7, 2022"
NCT05198778,"A Safety, PK, PD and Food Effect Study of URC102 in Healthy Adults and Patients With Renal Impairment",RECRUITING,"Healthy, Renal Impairment",DRUG: URC102|DRUG: URC102,JW Pharmaceutical,,INTERVENTIONAL,"November 29, 2021","November 29, 2021",July 2022
NCT05335044,Phase 1 Study to Evaluate the Safety and Pharmacokinetics of CKD-331 in Healthy Adult Volunteers,NOT_YET_RECRUITING,Hypertension and Dyslipidemia,DRUG: CKD-331|DRUG: EX5619,Chong Kun Dang Pharmaceutical,,INTERVENTIONAL,"April 29, 2022","April 29, 2022","June 25, 2022"
NCT05390944,An BE Study to Compare 10mg & 20mg of IMP4297 Capsules in Healthy Chinese Subjects Under Fasting Condition,NOT_YET_RECRUITING,Solid Tumor,DRUG: IMP4297(20mg)|DRUG: IMP4297(10mg),"Impact Therapeutics, Inc.",,INTERVENTIONAL,"June 8, 2022","June 8, 2022","June 21, 2022"
NCT04661644,Efficacy and Safety of Mesenchymal Stem Cell Clusters in Patients With Critical Limb Ischemia,RECRUITING,Critical Limb Ischemia,BIOLOGICAL: Clusters of adipose-derived mesenchymal stem cells (Dose: 1 x 10^7 cells/1 mL/vial)|BIOLOGICAL: Clusters of adipose-derived mesenchymal stem cells (Dose: 1 x 10^8 cells/1 mL/vial),"S.Biomedics Co., Ltd.",Dt&Sanomedics,INTERVENTIONAL,"November 4, 2020","November 4, 2020",June 2022
NCT05158244,Study of Multiple Oral Doses of PF-07081532 in Adult Participants With Type 2 Diabetes Mellitus,COMPLETED,Type 2 Diabetes Mellitus,DRUG: PF-07081532|DRUG: Placebo,Pfizer,,INTERVENTIONAL,"December 22, 2021","December 22, 2021","June 14, 2022"
NCT05404724,Study on the Pharmacokinetic Effect of Itraconazole on SHR0302 Tablets in Healthy Subjects,ACTIVE_NOT_RECRUITING,Rheumatoid Arthritis,DRUG: itraconazole、 SHR0302 tablets,"Jiangsu HengRui Medicine Co., Ltd.",,INTERVENTIONAL,"June 25, 2022","June 25, 2022","August 15, 2022"
NCT04511624,Single Dose Tolerability and Pharmacokinetics of IBI112 in Healthy Subjects,COMPLETED,Healthy Subjects,DRUG: IBI112 dose1|DRUG: IBI112 dose2|DRUG: IBI112 dose3|DRUG: IBI112 dose4|DRUG: IBI112 dose5|DRUG: IBI112 dose6|DRUG: IBI112 dose7,Innovent Biologics (Suzhou) Co. Ltd.,,INTERVENTIONAL,"August 27, 2020","August 27, 2020","July 22, 2022"
NCT02079740,Trametinib and Navitoclax in Treating Patients With Advanced or Metastatic Solid Tumors,RECRUITING,Metastatic Malignant Solid Neoplasm|Refractory Malignant Solid Neoplasm|Unresectable Malignant Solid Neoplasm,PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|BIOLOGICAL: Navitoclax|PROCEDURE: Positron Emission Tomography|DRUG: Trametinib,National Cancer Institute (NCI),,INTERVENTIONAL,"March 7, 2014","March 7, 2014","September 1, 2022"
NCT05342974,Atorvastatin as a Potential Adjunct to Misoprostol for Termination of Pregnancy,RECRUITING,Abortion Early,DRUG: Atorvastatin|DRUG: Misoprostol,University of Utah,Grand Challenges Canada,INTERVENTIONAL,"April 19, 2022","April 19, 2022","July 31, 2022"
NCT04386174,Brain Activity in People With Chronic Neuropathic Pain and Spinal Cord Injury,RECRUITING,Neuropathic Pain|Spinal Cord Injury,OTHER: Neurofeedback,Kessler Foundation,University of Surrey,INTERVENTIONAL,"August 1, 2020","August 1, 2020",July 2022
NCT05324124,A Study of the Effect of Food on Selpercatinib (LY3527723) in Healthy Participants,COMPLETED,Healthy,DRUG: Selpercatinib,"Loxo Oncology, Inc.",Eli Lilly and Company,INTERVENTIONAL,"April 19, 2022","April 19, 2022","June 22, 2022"
NCT03580824,"A Study to Determine if a New Malaria Vaccine is Safe and Induces Immunity Among Kenyan Adults, Young Children and Infants",COMPLETED,"Malaria,Falciparum",BIOLOGICAL: R21 in Matrix- M adjuvant vaccine,University of Oxford,Kenya Medical Research Institute|European and Developing Countries Clinical Trials Partnership (EDCTP),INTERVENTIONAL,"April 30, 2019","April 30, 2019","June 14, 2022"
NCT04582201,Evaluate the Safety of agenT-797 in Participants With Moderate to Severe Difficulty Breathing Secondary to SARS-CoV-2,COMPLETED,"Respiratory Distress Syndrome, Adult",DRUG: agenT-797,MiNK Therapeutics,,INTERVENTIONAL,"September 21, 2020","September 21, 2020","June 2, 2022"
NCT04570501,Angiotensin (1-7) for the Treatment of COVID-19 in Hospitalized Patients,WITHDRAWN,Covid19,DRUG: Angiotensin-(1-7)|DRUG: Placebo,Stanford University,,INTERVENTIONAL,February 2022,February 2022,August 2022
NCT03609424,PDR001 Plus Imatinib for Metastatic or Unresectable GIST,RECRUITING,Gastrointestinal Stromal Tumors,"DRUG: PDR001, Imatinib",Asan Medical Center,Novartis,INTERVENTIONAL,"February 14, 2019","February 14, 2019","August 30, 2022"
NCT05223101,A Bioequivalence Study Between Telmione 80 mg and Micardis 80 mg in Healthy Adult Volunteers,RECRUITING,Hypertension,DRUG: Telminone 80 mg|DRUG: Drug: Micardis 80 mg,HK inno.N Corporation,,INTERVENTIONAL,"January 19, 2022","January 19, 2022",July 2022
NCT03719001,Effect of Changing Physiological Conditions on Myogenic Oscillations: Pilot Study,COMPLETED,Vascular Diseases,DRUG: Phenylephrine|DRUG: Dexmedetomidine|DRUG: Clevidipine|OTHER: tetanic stimulus|OTHER: Increased venous pressure|DRUG: Calcium Chloride,"University of California, San Francisco",,INTERVENTIONAL,"October 23, 2018","October 23, 2018","June 15, 2022"
NCT01555281,Nelfinavir and Lenalidomide/Dexamethasone in Progressive Multiple Myeloma,TERMINATED,Multiple Myeloma,DRUG: Nelfinavir|DRUG: Lenalidomide|DRUG: Dexamethasone,Swiss Group for Clinical Cancer Research,,INTERVENTIONAL,"February 23, 2012","February 23, 2012","June 8, 2022"
